Name,Age,Vintage,Distillery,Bottler,Price,ABV,Region,Availability,Country,Type,Subtype
"Highland Park 1982 G&M","12 yrs","1982","Highland Park","Gordon & MacPhail","N/A","56.9","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"John Gibson's Son Ancient Special Reserve Rye","12 yrs","1917","N/A","Dougherty Distillery Warehouse","N/A","50","Pennsylvania","Collectors Only","USA","American","Rye",
"Knockdhu 21","21 yrs","N/A","Knockando","Knockdhu","$135","57.5","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Speyburn 10","10 yrs","N/A","Speyburn","Speyburn","$23","40","Speyside","Wide","Scotland","Scotch","Single Malt",
"Glen Grant 1973 Hart Brothers","26 yrs","1973","Glen Grant","Hart Brothers","$145","51.1","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Old Hickory 10","10 yrs","N/A","Old Hickory Distilling","Continental Distilling","N/A","43","Pennsylvania","Collectors Only","USA","American","Bourbon",
"Chivas Regal Royal Salute","21 yrs","N/A","Chivas","Chivas","$160","40","N/A","Wide","Scotland","Scotch","Blend",
"Clynelish 1972 Rare Malt","24 yrs","1972","Clynelish","Clynelish","N/A","61.3","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Port Ellen 19 ys Old Malt Cask Sherry","19 yrs","N/A","Port Ellen","Douglas Laing","N/A","50","Islay","Wide","Scotland","Scotch","Single Malt",
"A.H. Hirsch 16 "Gold Foil"","16 yrs","N/A","Anchor Distilling Co.","Preiss Imports","N/A","45.8","Pennsylvania  ","Specialty Stores","USA","American","Bourbon",
"Banff 1975 Duncan Taylor K&L","35 yrs","1975","Banff","Duncan Taylor","$225","45.2","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Caol Ila 18","18 yrs","N/A","Caol Ila","Caol Ila","$70","43","Islay","Better Stores","Scotland","Scotch","Single Malt",
"Glen Grant 1990 Gordon & Macphail 13yr","13 yrs","1990","Glen Grant","Gordon & MacPhail","$90","56","Speyside","Wide","Scotland","Scotch","Single Malt",
"Glen Ord 28","28 yrs","1975","Glen Ord","Glen Ord","$200","58.3","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Longrow 1973 Samaroli","N/A","1973","Longmorn","Samaroli","N/A","53","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Mortlach 1989 Murray McDavid","11 yrs","1989","Morlach","Murray McDavid","$40","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Glen Grant 1965 Gordon & Macphail","42 yrs","1965","Glen Grant","Gordon & MacPhail","$300","40","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Glendronach 1968","25 yrs","1968","Glendarroch","Glendronach","$230","43","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 106","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Balvenie 17 Doublewood","17 yrs","N/A","Balvenie","Balvenie","$130","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Dun Bheagan 8 Highland","8 yrs","N/A","Dun Bheagan","Ian Macleod","$40","43","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Dalmore 10 Medoc Finish Chieftain's","10 yrs","N/A","Dalmore","Ian Macleod","N/A","43","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Glenglassaugh First Cask","3 yrs","N/A","Glenglassaugh","Glenglassaugh","$210","59.1","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Old Rip Van Winkle 23","23 yrs","N/A","Buffalo Trace","Van Winkle/Buffalo Trace","$350","57","Kentucky","Specialty Stores","USA","American","Bourbon",
"Dailuaine 1962 Cadenhead's (27yr)","27 yrs","1962","Dailuaine","Cadenhead","N/A","50.8","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Karuizawa  1971 ","36 yrs","1971","Karuizawa","Karuizawa","N/A","64.1","Japan","Collectors Only","Japan","Japanese","Single Malt",
"Old Weller Antique (1789b #8)","7 yrs","N/A","Buffalo Trace","Buffalo Trace","N/A","53.5","Kentucky","Collectors Only","USA","American","Bourbon",
"Amrut Peated Cask Strength","N/A","N/A","Amrut","Amrut","$85","62.8","N/A","Specialty Stores","India","World","Other",
"Bowmore 1990 Scottish Castles","16 yrs","1990","Bowmore","Jack Wieber Whisky World","N/A","58.8","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Caol Ila 12 "Unpeated Style"","12 yrs","N/A","Caol Ila","Caol Ila","$75","57.6","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Tullamore Dew 12","12 yrs","N/A","Tullamore Dew","Tullamore Dew","$36","40","Ireland","Wide","Ireland","Irish","Blend",
"Dallas Dhu 1975 Signatory (Binny's)","27 yrs","1975","Dallas Dhu","Signatory","$120","45.9","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Connemara Peated Single Malt","N/A","N/A","Concannon","Concannon","$45","40","Ireland","Wide","Ireland","Irish","Single Malt",
"Port Ellen 1982 Signatory (Cask 1136)","25 yrs","1982","Port Ellen","Signatory","N/A","46","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Macallan 1976 Adelphi","30 yrs","1976","Macallan","Adelphi","N/A","45.3","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Lagavulin 12 Special Release 2004","12 yrs","N/A","Lagavulin","Lagavulin","$120","58.2","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Eagle Rare 17 (2007)","19 yrs","1988","Buffalo Trace","Buffalo Trace","$80","45","Kentucky","Better Stores","USA","American","Bourbon",
"Glen Breton Rare","10 yrs","N/A","Glenora","Glenora","$85","43","Nova Scotia","Specialty Stores","Canada","Canadian","Single Malt",
"Compass Box The Spice Tree (1st Release)","NA yrs","N/A","Compass Box","Compass Box","$150","46","N/A","Collectors Only","Scotland","Scotch","Vatted Malt",
"Glengoyne 1972 Malts of Scotland","37 yrs","1972","Glengoyne","Malts of Scotland","$220","46.3","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Craigellachie 1991 A.D. Rattray","16 yrs","1991","Craigellachie","A.D. Rattray","$90","58.5","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenrothes 1992","11 yrs","1992","Glenrothes","Glenrothes","$70","43","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"BenRiach 1995 PX Sherry Puncheon ","15 yrs","1995","BenRiach","BenRiach","N/A","52.3","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Bruichladdich 1990 Scott's Selection","14 yrs","1990","Bruichladdich","Scott's Selection","$100","58.1","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Longmorn 1970 Alambic Classique","39 yrs","1970","Longmorn","Alambic Classique","N/A","51.7","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 136","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Trader Joe's Single Malt Irish Whiskey","4 yrs","N/A","NDP","Trader Joe's","$20","40","Ireland","Wide","Ireland","Irish","Single Malt",
"Kilchoman Autumn Release","3 yrs","2006","Kilchoman","Kilchoman","$100","46","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Laphroaig Feis Ile 1994","12 yrs","1994","Laphroaig","Laphroaig","N/A","56","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Usuikyou 1983","25 yrs","1983","Syuzou","Tokuoka Co. Ltd.","N/A","64","Japan","Overseas Specialty","Japan","Japanese","Single Malt",
"Rebel Yell","N/A","N/A","Heaven Hill","Rebel Yell","$11","40","Kentucky","Wide","USA","American","Bourbon",
"Maker's 46","N/A","N/A","Maker's Mark","Maker's Mark","$35","47","Kentucky","Wide","USA","American","Bourbon",
"Laphroaig 1997 Duncan Taylor","12 yrs","1997","Laphroaig","Duncan Taylor","$80","54.8","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Banff 1975 Duncan Taylor (Rarest) ","31 yrs","1975","Banff","Duncan Taylor","N/A","42.5","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Kilchoman 2012 Sherry Cask Release","N/A","2012","Kilchoman","Kilchoman","$75","46","Islay","Wide","Scotland","Scotch","Single Malt",
"Glendullan 1965 Cadenhead's","25 yrs","1965","Glendullan","Cadenhead","N/A","52.4","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Glenlivet Nadurra 0606A","16 yrs","N/A","Glenlivet","Glenlivet","N/A","57.2","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Craigduff 1973 Signatory","33 yrs","1973","Craigduff","Signatory","$300","47.5","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 125","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Famous Grouse 18","18 yrs","N/A","Famous Grouse","Famous Grouse","$65","43","N/A","Better Stores","Scotland","Scotch","Vatted Malt",
"Springbank 1997 (Binny's)","10 yrs","1997","Springbank","Springbank","$75","58.2","Campbeltown","Specialty Stores","Scotland","Scotch","Single Malt",
"Kentucky Vintage 1974","25 yrs","1974","Kentucky Bourbon Distillers ","Kentucky Bourbon Distillers","N/A","47","Kentucky","Collectors Only","USA","American","Bourbon",
"Jacob's Well","7 yrs","N/A","Jim Beam","Jim Beam","N/A","42","Kentucky","Collectors Only","USA","American","Bourbon",
"Dallas Dhu 1975 Signatory (Cask 2356)","28 yrs","1975","Dallas Dhu","Signatory","$145","45.9","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Glenlivet 12","12 yrs","N/A","Glenlivet","Glenlivet","$25","40","Speyside","Wide","Scotland","Scotch","Single Malt",
"Macallan Fine Oak 15","15 yrs","N/A","Macallan","Macallan","$75","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Glenlivet 1972 Cellar Collection","33 yrs","1972","Glenlivet","Glenlivet","$750","52.3","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Port Dundas 34yr Duncan Taylor","34 yrs","1973","Port Dundas","Duncan Taylor","$95","54.5","N/A","Overseas Specialty","Scotland","Scotch","Grain",
"Rosebank 1980 Old Malt Cask","22 yrs","1980","Rosebank","Douglas Laing","$140","50","Lowland","Specialty Stores","Scotland","Scotch","Single Malt",
"Caperdonich 1972 The Whisky Fair","35 yrs","1972","Caperdonich","The Whisky Fair","$168","48.3","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Pig's Nose","5 yrs","N/A","N/A","Spencerfield Spirit Co","$31","40","N/A","Wide","Scotland","Scotch","Blend",
"Glenlivet 1959 Cellar Collection","42 yrs","1959","Glenlivet","Glenlivet","$1500","42.28","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Highland Park 1991 Signatory Vintage (2010)","18 yrs","1991","Highland Park","Signatory","$80","46","Island","Specialty Stores","Scotland","Scotch","Single Malt",
"Tomatin 12","12 yrs","N/A","Tomatin","Tomatin","$30","40","Speyside","Wide","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 99","8 yrs","2002","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Highland Park 8yr MacPhail's Collection","8 yrs","N/A","Highland Park","Gordon & MacPhail","$31","40","Island","Overseas Specialty","Scotland","Scotch","Single Malt",
"Longmorn 1967 James MacArthur","35 yrs","1967","Longmorn","James MacArthur","N/A","57.1","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Ardbeg 1993 Cadenhead's","14 yrs","1993","Ardbeg","Cadenhead","$80","46","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Ardbeg Feis Ile 2011","13 yrs","1998","Ardbeg","Ardbeg","N/A","55.1","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Kavalan Solist Ex-Bourbon Cask","N/A","N/A","Kavalan","King Car","$150","58.2","N/A","Overseas Specialty","Taiwan","World","Single Malt",
"Port Charlotte 2001 Malts of Scotland","8 yrs","2001","Port Charlotte","Malts of Scotland","N/A","61.6","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Convalmore 1984 Gordon & MacPhail Cask 1538 ","22 yrs","1984","Convalmore","Gordon & MacPhail","$185","52.2","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenkinchie 20","20 yrs","1990","Glenkinchie","Glenkinchie","$180","55.1","Lowland","Specialty Stores","Scotland","Scotch","Single Malt",
"Four Roses Single Barrel OBSO K&L","10 yrs","N/A","Four Roses ","Four Roses ","$55","56.1","Kentucky","Specialty Stores","USA","American","Bourbon",
"Macallan 1985 SMWS 24.85","20 yrs","1985","Macallan","The Scotch Malt Whisky Society","N/A","55.9","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Aultmore Batch 1 That Boutique-y Whisky Company","N/A","N/A","Aultmore","That Boutique-y Whisky Company","$55","53.4","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Craigellachie 1982 Scott's Selection","26 yrs","1982","Craigellachie","Scott's Selection","$150","63","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Van Winkle Family Reserve Rye","13 yrs","N/A","Buffalo Trace","Buffalo Trace","$72","47.8","Kentucky","Specialty Stores","USA","American","Rye",
"Springbank 1997 (for K&L)","14 yrs","1997","Springbank","Springbank","$100","56.8","Campbeltown","Wide","Scotland","Scotch","Single Malt",
"Glengoyne 1987 Single Cask","24 yrs","1987","Glengoyne","Glengoyne","N/A","54.8","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Port Ellen 1979 26yr Old Malt Cask","26 yrs","1979","Port Ellen","Douglas Laing","$235","50","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Old Pulteney 21","21 yrs","N/A","Old Pulteney","Old Pulteney","$120","46","Highland","Better Stores","Scotland","Scotch","Single Malt",
"Rosebank 1991 Cask","13 yrs","1991","Rosebank","Gordon & MacPhail","$90","59.3","Lowland","Specialty Stores","Scotland","Scotch","Single Malt",
"Highland Park Thor","16 yrs","N/A","Highland Park","Highland Park","$150","52.1","Island","Overseas Wide","Scotland","Scotch","Single Malt",
"Four Roses Single Barrel Jim Rutledge OBSV (Shopper's Vineyard)","10 yrs","2001","Four Roses ","Four Roses ","$50","52.8","Kentucky","Specialty Stores","USA","American","Bourbon",
"Springbank 21","21 yrs","N/A","Springbank","Springbank","N/A","46","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Bowmore 1982","29 yrs","1982","Bowmore","Bowmore","$450","47.3","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Ledaig 1972","32 yrs","1972","Ledaig","Ledaig","$360","48.5","Island","Specialty Stores","Scotland","Scotch","Single Malt",
"William Larue Weller (2011)","12 yrs","1998","Buffalo Trace","Buffalo Trace","$80","66.75","Kentucky","Specialty Stores","USA","American","Bourbon",
"Port Ellen 1978 The Whisky Shop 10th Anniversary","24 yrs","1978","Port Ellen","Douglas Laing","$650","57.9","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Inchmurrin 1985 Cadenhead's","12 yrs","1985","Inchmurrin","Cadenhead","$110","60.7","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Johnnie Walker Double Black","N/A","N/A","Johnnie Walker","Johnnie Walker","$50","40","N/A","Wide","Scotland","Scotch","Blend",
"Strathmill 1976 Dewar Rattray","31 yrs","1976","Strathmill","A.D. Rattray","$200","48.1","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenfarclas 1965 Family Casks","N/A","1965","Glenfarclas","Glenfarclas","N/A","60","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Strathisla 15  Gordon Macphail (1970's)","15 yrs","N/A","Strathisla","Gordon & MacPhail","N/A","50","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Teacher's Highland Cream (Late 1970s)","N/A","N/A","Teacher's","Teacher's","$20","43","N/A","Wide","Scotland","Scotch","Blend",
"Glenlivet 1977 Old Malt Cask","28 yrs","1977","Glenlivet","Douglas Laing","$220","50","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Port Ellen DL 60th Anniversary","30 yrs","N/A","Port Ellen","Douglas Laing","$405","55.6","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Arran SMWS 121.21","9 yrs","N/A","Arran","The Scotch Malt Whisky Society","$85","57.8","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Pikesville Rye","3 yrs","N/A","Heaven Hill","Heaven Hill","$16","40","Kentucky","Wide","USA","American","Rye",
"George Dickel Cascade Hollow ","N/A","N/A","George Dickel ","George Dickel ","$17","40","Kentucky","Wide","USA","American","Tennessee",
"Port Ellen 1983 Old Bothwell (Cask 20)","27 yrs","1983","Port Ellen","Old Bothwell","$255","51","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Bruichladdich XVII","17 yrs","N/A","Bruichladdich","Bruichladdich","$115","46","Islay","Wide","Scotland","Scotch","Single Malt",
"Glen Grant 1980 Bladnoch Forum","27 yrs","1980","Glen Grant","Bladnoch Forum","N/A","54","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Bowmore 17","17 yrs","N/A","Bowmore","Bowmore","$70","43","Islay","Wide","Scotland","Scotch","Single Malt",
"Lost Spirits Seascape","N/A","N/A","Lost Spirits","Lost Spirits","$45","53","California","Specialty Stores","USA","American","Single Malt",
"Glengoyne 1972 Perfect Dram","37 yrs","1972","Glengoyne","Perfect Dram","$170","57","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Nikka Miyagikyo 10","10 yrs","N/A","Nikka","Nikka","$70","45","Japan","Overseas Wide","Japan","Japanese","Single Malt",
"Highland Park 1988 Cadenhead's","10 yrs","1988","Highland Park","Cadenhead","$120","59.5","Island","Specialty Stores","Scotland","Scotch","Single Malt",
"Karuizawa 1972 ","36 yrs","1972","Karuizawa","Number One Drinks Company","$215","65","Japan","Overseas Specialty","Japan","Japanese","Single Malt",
"BenRiach 10 Curiositas","10 yrs","N/A","BenRiach","BenRiach","$58","46","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Aberfeldy 21 ","21 yrs","N/A","Aberfeldy","Aberlour","$150","40","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Eagle Rare 101 (1979)","10 yrs","N/A","Buffalo Trace","Seagram's","N/A","50.5","Kentucky","Collectors Only","USA","American","Bourbon",
"Lagavulin 16 "White Horse" Circa 1990","16 yrs","N/A","Lagavulin","Lagavulin","N/A","43","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Lagavulin 1996 Distiller's Edition","16 yrs","1996","Lagavulin","Lagavulin","$110","43","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
